"","X","month","age","serostatus","serotype","outcome","trial","Y","year"
"43",43,"36","4-5yrs","seropositive","all","hosp","placebo",1,"3"
"44",44,"36","6-11yrs","seropositive","all","hosp","placebo",18,"3"
"45",45,"36","12-16yrs","seropositive","all","hosp","placebo",7,"3"
"46",46,"36","4-5yrs","seronegative","all","hosp","placebo",2,"3"
"47",47,"36","6-11yrs","seronegative","all","hosp","placebo",5,"3"
"48",48,"36","12-16yrs","seronegative","all","hosp","placebo",1,"3"
"49",49,"36","all","seropositive","DENV1","hosp","vaccine",6,"3"
"50",50,"36","all","seropositive","DENV2","hosp","vaccine",2,"3"
"51",51,"36","all","seropositive","DENV3","hosp","vaccine",4,"3"
"52",52,"36","all","seropositive","DENV4","hosp","vaccine",0,"3"
"53",53,"36","all","seronegative","DENV1","hosp","vaccine",2,"3"
"54",54,"36","all","seronegative","DENV2","hosp","vaccine",0,"3"
"55",55,"36","all","seronegative","DENV3","hosp","vaccine",7,"3"
"56",56,"36","all","seronegative","DENV4","hosp","vaccine",0,"3"
"57",57,"36","all","seropositive","DENV1","hosp","placebo",10,"3"
"58",58,"36","all","seropositive","DENV2","hosp","placebo",9,"3"
"59",59,"36","all","seropositive","DENV3","hosp","placebo",6,"3"
"60",60,"36","all","seropositive","DENV4","hosp","placebo",1,"3"
"61",61,"36","all","seronegative","DENV1","hosp","placebo",5,"3"
"62",62,"36","all","seronegative","DENV2","hosp","placebo",2,"3"
"63",63,"36","all","seronegative","DENV3","hosp","placebo",1,"3"
"64",64,"36","all","seronegative","DENV4","hosp","placebo",0,"3"
"65",65,"12","4-5yrs","both","DENV1","hosp","both",0,"1"
"66",66,"12","6-11yrs","both","DENV1","hosp","both",4,"1"
"67",67,"12","12-16yrs","both","DENV1","hosp","both",1,"1"
"68",68,"12","4-5yrs","both","DENV2","hosp","both",3,"1"
"69",69,"12","6-11yrs","both","DENV2","hosp","both",25,"1"
"70",70,"12","12-16yrs","both","DENV2","hosp","both",15,"1"
"71",71,"12","4-5yrs","both","DENV3","hosp","both",1,"1"
"72",72,"12","6-11yrs","both","DENV3","hosp","both",6,"1"
"73",73,"12","12-16yrs","both","DENV3","hosp","both",3,"1"
"74",74,"12","4-5yrs","both","DENV4","hosp","both",0,"1"
"75",75,"12","6-11yrs","both","DENV4","hosp","both",0,"1"
"76",76,"12","12-16yrs","both","DENV4","hosp","both",0,"1"
"77",77,"24","4-5yrs","both","DENV1","hosp","both",4,"2"
"78",78,"24","6-11yrs","both","DENV1","hosp","both",11,"2"
"79",79,"24","12-16yrs","both","DENV1","hosp","both",4,"2"
"80",80,"24","4-5yrs","both","DENV2","hosp","both",2,"2"
"81",81,"24","6-11yrs","both","DENV2","hosp","both",5,"2"
"82",82,"24","12-16yrs","both","DENV2","hosp","both",0,"2"
"83",83,"24","4-5yrs","both","DENV3","hosp","both",3,"2"
"84",84,"24","6-11yrs","both","DENV3","hosp","both",3,"2"
"85",85,"24","12-16yrs","both","DENV3","hosp","both",0,"2"
"86",86,"24","4-5yrs","both","DENV4","hosp","both",0,"2"
"87",87,"24","6-11yrs","both","DENV4","hosp","both",1,"2"
"88",88,"24","12-16yrs","both","DENV4","hosp","both",0,"2"
"89",89,"48","all","seropositive","DENV1","hosp","placebo",3,"4"
"90",90,"48","all","seropositive","DENV2","hosp","placebo",4,"4"
"91",91,"48","all","seropositive","DENV3","hosp","placebo",1,"4"
"92",92,"48","all","seropositive","DENV4","hosp","placebo",0,"4"
"93",93,"48","all","seronegative","DENV1","hosp","placebo",3,"4"
"94",94,"48","all","seronegative","DENV2","hosp","placebo",1,"4"
"95",95,"48","all","seronegative","DENV3","hosp","placebo",1,"4"
"96",96,"48","all","seronegative","DENV4","hosp","placebo",0,"4"
"97",97,"48","all","seropositive","DENV1","hosp","vaccine",1,"4"
"98",98,"48","all","seropositive","DENV2","hosp","vaccine",0,"4"
"99",99,"48","all","seropositive","DENV3","hosp","vaccine",0,"4"
"100",100,"48","all","seropositive","DENV4","hosp","vaccine",0,"4"
"101",101,"48","all","seronegative","DENV1","hosp","vaccine",0,"4"
"102",102,"48","all","seronegative","DENV2","hosp","vaccine",0,"4"
