"","month","serostatus","trial","serotype","mean","lower","upper","year","N","avg_titre","lower_titre","upper_titre","sd_titre","SE_titre"
"22",36,"SP","Placebo","DENV-2",586.6732699,506.8337418,682.6467693,3,902,2.76839630127345,2.70486551976657,2.83419603922112,0.990873522601914,0.0329924794526917
"23",36,"SP","Placebo","DENV-3",335.4424008,273.607914,396.4829948,3,902,2.5256179577024,2.43712865502477,2.59822456511416,1.23424596591934,0.0410958954309661
"24",36,"SP","Placebo","DENV-4",276.4818125,235.1413011,323.3964605,3,902,2.44166656786249,2.37132891693646,2.50973526234301,1.06040850683855,0.0353077411751426
"25",48,"SP","TAK","DENV-2",1172.799109,1042.926707,1295.245083,4,1816,3.06922362735458,3.01825378890217,3.11235195229672,1.02294669146267,0.0240046335190186
"26",48,"SP","TAK","DENV-1",1005.936952,910.8407181,1091.082457,4,1816,3.00257076177701,2.95944243701872,3.03785757301446,0.852455574410008,0.0200038612234013
"27",48,"SP","TAK","DENV-3",658.1325093,583.6162084,742.1630749,4,1816,2.8183133438632,2.76612734477202,2.87049934294446,1.13463415607987,0.0266255097378671
"28",48,"SP","TAK","DENV-4",468.6311713,419.93598,514.8401275,4,1816,2.67083117259501,2.62318308646463,2.71167238918933,0.961972435875517,0.0225738017154847
"29",48,"SP","Placebo","DENV-1",614.9175804,536.8142564,689.817094,4,902,2.78881690963526,2.7298240410537,2.83873395219126,0.834419808644292,0.0277831405963158
"30",48,"SP","Placebo","DENV-2",562.658196,496.3519059,651.291531,4,902,2.75024464943345,2.69578969382965,2.8137754309088,0.903954792801135,0.0300984023161101
"31",48,"SP","Placebo","DENV-3",388.2833243,331.9556346,447.1060682,4,902,2.58914873919399,2.52108004474049,2.65041056422699,0.990873522846698,0.0329924794608421
"32",48,"SP","Placebo","DENV-4",275.0411096,233.9160171,325.0904554,4,902,2.43939761142335,2.36905996058634,2.51200421887182,1.09517599821305,0.0364653720116017
"33",-3,"SP","TAK","DENV-1",411,366,462,-0.25,1816,2.61384182187607,2.56348108539441,2.66464197555613,1.09972601125534,0.0258063495310498
"34",-3,"SP","Placebo","DENV-1",445,378,525,-0.25,902,2.64836001098093,2.57749179983723,2.72015930340596,1.09305562537115,0.0363947713185539
"35",-3,"SN","TAK","DENV-1",5,5,5,-0.25,702,0.698970004336019,0.698970004336019,0.698970004336019,0,0
"36",-3,"SN","Placebo","DENV-1",5,5,5,-0.25,345,0.698970004336019,0.698970004336019,0.698970004336019,0,0
